,userCode,userFileName,condition,response1,options,item,trialnumber,frame,view,syllNum,fricative,animate,long,localTime,age,gender
0,HRR607,607,s,,,,,,,,,,,Mon+Nov+28+2016+22%3A33%3A23+GMT-0500+(EST),,none
1,HRR607,607,s,Continue,,zup,3,chicken,ekVideoView.ejs,1,no,yes,none,Mon+Nov+28+2016+22%3A33%3A27+GMT-0500+(EST),,
2,HRR607,607,s,Continue,,tut,4,deer,ekVideoView.ejs,1,no,yes,none,Mon+Nov+28+2016+22%3A33%3A29+GMT-0500+(EST),,
3,HRR607,607,s,Continue,,zot,5,dog,ekVideoView.ejs,1,no,yes,none,Mon+Nov+28+2016+22%3A33%3A31+GMT-0500+(EST),,
4,HRR607,607,s,Continue,,bok,6,penguin,ekVideoView.ejs,1,no,yes,none,Mon+Nov+28+2016+22%3A33%3A33+GMT-0500+(EST),,
5,HRR607,607,s,Continue,,vesh,7,giraffe,ekVideoView.ejs,1,yes,yes,none,Mon+Nov+28+2016+22%3A33%3A35+GMT-0500+(EST),,
6,HRR607,607,s,Continue,,tesh,8,rabbit,ekVideoView.ejs,1,yes,yes,none,Mon+Nov+28+2016+22%3A33%3A37+GMT-0500+(EST),,
7,HRR607,607,s,Continue,,shap,9,elephant,ekVideoView.ejs,1,no,yes,none,Mon+Nov+28+2016+22%3A33%3A39+GMT-0500+(EST),,
8,HRR607,607,s,Continue,,piz,10,horse,ekVideoView.ejs,1,yes,yes,none,Mon+Nov+28+2016+22%3A36%3A12+GMT-0500+(EST),,
9,HRR607,607,s,Continue,,dez,11,cat,ekVideoView.ejs,1,yes,yes,none,Mon+Nov+28+2016+22%3A36%3A16+GMT-0500+(EST),,
10,HRR607,607,s,Continue,,kosh,12,pig,ekVideoView.ejs,1,yes,yes,none,Mon+Nov+28+2016+22%3A36%3A21+GMT-0500+(EST),,
11,HRR607,607,s,Continue,,fut,13,136,ekVideoView.ejs,1,no,,,Mon+Nov+28+2016+22%3A36%3A25+GMT-0500+(EST),,
12,HRR607,607,s,Continue,,tesuf,14,hippo,jaVideoView.ejs,2,yes,yes,none,Mon+Nov+28+2016+22%3A36%3A30+GMT-0500+(EST),,
13,HRR607,607,s,Continue,,pufev,15,crab,jaVideoView.ejs,2,yes,yes,none,Mon+Nov+28+2016+22%3A36%3A33+GMT-0500+(EST),,
14,HRR607,607,s,Continue,,bezosh,16,lion,jaVideoView.ejs,2,yes,yes,none,Mon+Nov+28+2016+22%3A36%3A35+GMT-0500+(EST),,
15,HRR607,607,s,Continue,,soshuk,17,tiger,jaVideoView.ejs,2,no,yes,none,Mon+Nov+28+2016+22%3A36%3A38+GMT-0500+(EST),,
16,HRR607,607,s,Continue,,kozab,18,turtle,jaVideoView.ejs,2,no,yes,none,Mon+Nov+28+2016+22%3A36%3A55+GMT-0500+(EST),,
17,HRR607,607,s,Continue,,dezosh,19,duck,jaVideoView.ejs,2,yes,yes,none,Mon+Nov+28+2016+22%3A37%3A03+GMT-0500+(EST),,
18,HRR607,607,s,Continue,,pekiv,20,139,jaPictureView.ejs,2,yes,none,,Mon+Nov+28+2016+22%3A37%3A05+GMT-0500+(EST),,
19,HRR607,607,s,Continue,,shufik,21,pillow,jaPictureView.ejs,2,no,no,none,Mon+Nov+28+2016+22%3A37%3A07+GMT-0500+(EST),,
20,HRR607,607,s,Continue,,disab,22,pen,jaPictureView.ejs,2,no,no,none,Mon+Nov+28+2016+22%3A37%3A08+GMT-0500+(EST),,
21,HRR607,607,s,Continue,,sapif,23,cup,jaPictureView.ejs,2,yes,none,no,Mon+Nov+28+2016+22%3A37%3A12+GMT-0500+(EST),,
22,HRR607,607,s,Continue,,pisok,24,umbrella,jaPictureView.ejs,2,no,no,none,Mon+Nov+28+2016+22%3A37%3A13+GMT-0500+(EST),,
23,HRR607,607,s,Continue,,kifak,25,bed,jaPictureView.ejs,2,no,none,no,Mon+Nov+28+2016+22%3A37%3A13+GMT-0500+(EST),,
24,YQV617,617,s,,,,,,,,,,Mon+Nov+28+2016+22%3A41%3A58+GMT-0500+(EST),,none
25,UMK618,618,s,,,,,,,,,,Tue+Nov+29+2016+00%3A16%3A00+GMT-0500+(EST),,none
26,SBQ620,620,s,,,,,,,,,,Tue+Nov+29+2016+00%3A17%3A11+GMT-0500+(EST),,none
27,SLZ622,622,s,,,,,,,,,,Tue+Nov+29+2016+00%3A17%3A56+GMT-0500+(EST),,none
28,SLZ622,622,s,Continue,,kos,3,dog,ekVideoView.ejs,1,yes,yes,none,Tue+Nov+29+2016+00%3A17%3A59+GMT-0500+(EST),,
29,FXZ633,633,s,,,,,,,,,,Tue+Nov+29+2016+00%3A59%3A22+GMT-0500+(EST),,none
