,userCode,userFileName,condition,response1,options,item,trialnumber,frame,view,syllNum,fricative,animate,long,localTime,age,gender
0,LBP702,702,4,,,,,,,,,,,Mon+Oct+10+2016+20%3A34%3A14+GMT-0400+(EDT),19,male
1,LBP702,702,4,Continue,,gop,3,undefined,warmup.ejs,,,,,Mon+Oct+10+2016+20%3A34%3A15+GMT-0400+(EDT),,
2,LBP702,702,4,Continue,,dak,4,undefined,warmup.ejs,,,,,Mon+Oct+10+2016+20%3A34%3A15+GMT-0400+(EDT),,
3,LBP702,702,4,Continue,,fitash,5,undefined,warmup.ejs,,,,,Mon+Oct+10+2016+20%3A34%3A15+GMT-0400+(EDT),,
4,LBP702,702,4,Continue,,rezik,6,undefined,warmup.ejs,,,,,Mon+Oct+10+2016+20%3A34%3A15+GMT-0400+(EDT),,
5,LBP702,702,4,Continue,,dog,7,undefined,stimulus.ejs,,,,,Mon+Oct+10+2016+20%3A34%3A17+GMT-0400+(EDT),,
6,LBP702,702,4,Continue,,pip,9,magiccube,ro,1,no,none,no,Mon+Oct+10+2016+20%3A34%3A19+GMT-0400+(EDT),,
7,LBP702,702,4,Continue,,bok,10,telescope,ek,1,no,none,yes,Mon+Oct+10+2016+20%3A34%3A19+GMT-0400+(EDT),,
8,LBP702,702,4,Continue,,fid,11,knife,ek,1,no,none,yes,Mon+Oct+10+2016+20%3A34%3A20+GMT-0400+(EDT),,
9,LBP702,702,4,Continue,,pufev,12,pillow,ro,2,yes,none,no,Mon+Oct+10+2016+20%3A34%3A20+GMT-0400+(EDT),,
10,LBP702,702,4,Continue,,pekiv,13,remotecontrol,ek,2,yes,none,yes,Mon+Oct+10+2016+20%3A34%3A21+GMT-0400+(EDT),,
11,LBP702,702,4,Continue,,kosh,14,spoon,ek,1,yes,none,yes,Mon+Oct+10+2016+20%3A34%3A22+GMT-0400+(EDT),,
12,LBP702,702,4,Continue,,dezit,15,paintbrush,ek,2,no,none,yes,Mon+Oct+10+2016+20%3A34%3A22+GMT-0400+(EDT),,
13,LBP702,702,4,Continue,,kifak,16,cupboard,ro,2,no,none,no,Mon+Oct+10+2016+20%3A34%3A22+GMT-0400+(EDT),,
14,LBP702,702,4,dezit,(dezit-kosh),,kosh,17,undefined,threeTrialsAgoTest.ejs,1,no,,,Mon+Oct+10+2016+20%3A34%3A23+GMT-0400+(EDT),,
15,LBP702,702,4,Continue,,fut,18,bulb,ro,1,no,none,no,Mon+Oct+10+2016+20%3A34%3A24+GMT-0400+(EDT),,
16,LBP702,702,4,Continue,,shobit,19,lampshade,ro,2,no,none,no,Mon+Oct+10+2016+20%3A34%3A24+GMT-0400+(EDT),,
17,LBP702,702,4,Continue,,shet,20,microphone,ek,1,no,none,yes,Mon+Oct+10+2016+20%3A34%3A24+GMT-0400+(EDT),,
18,LBP702,702,4,Continue,,kozab,21,toiletpaper,ro,2,no,none,no,Mon+Oct+10+2016+20%3A34%3A24+GMT-0400+(EDT),,
19,LBP702,702,4,Continue,,sapish,22,book,ro,2,yes,none,no,Mon+Oct+10+2016+20%3A34%3A24+GMT-0400+(EDT),,
20,LBP702,702,4,Continue,,pefid,23,recorder,ek,2,no,none,yes,Mon+Oct+10+2016+20%3A34%3A25+GMT-0400+(EDT),,
21,LBP702,702,4,Continue,,kusud,24,sword,ek,2,no,none,yes,Mon+Oct+10+2016+20%3A34%3A25+GMT-0400+(EDT),,
22,LBP702,702,4,sapish,(sapish-shes),,sapish,25,undefined,threeTrialsAgoTest.ejs,2,yes,,,Mon+Oct+10+2016+20%3A34%3A25+GMT-0400+(EDT),,
23,LBP702,702,4,Continue,,pof,26,microwaveoven,ro,1,yes,none,no,Mon+Oct+10+2016+20%3A34%3A25+GMT-0400+(EDT),,
24,LBP702,702,4,Continue,,duf,27,fan,ro,1,yes,none,no,Mon+Oct+10+2016+20%3A34%3A25+GMT-0400+(EDT),,
25,LBP702,702,4,Continue,,piz,28,ruler,ek,1,yes,none,yes,Mon+Oct+10+2016+20%3A34%3A26+GMT-0400+(EDT),,
26,LBP702,702,4,Continue,,shekef,29,washingmachine,ro,2,yes,none,no,Mon+Oct+10+2016+20%3A34%3A26+GMT-0400+(EDT),,
27,LBP702,702,4,Continue,,shes,30,frisbee,ro,1,yes,none,no,Mon+Oct+10+2016+20%3A34%3A26+GMT-0400+(EDT),,
28,LBP702,702,4,Continue,,voguv,31,toothbrush,ek,2,yes,none,yes,Mon+Oct+10+2016+20%3A34%3A26+GMT-0400+(EDT),,
29,LBP702,702,4,Continue,,keb,32,purse,ro,1,no,none,no,Mon+Oct+10+2016+20%3A34%3A27+GMT-0400+(EDT),,
30,LBP702,702,4,shes,(shes-fut),,shes,33,undefined,threeTrialsAgoTest.ejs,1,yes,,,Mon+Oct+10+2016+20%3A34%3A27+GMT-0400+(EDT),,
31,LBP702,702,4,Continue,,kiv,34,walkingstick,ek,1,yes,none,yes,Mon+Oct+10+2016+20%3A34%3A27+GMT-0400+(EDT),,
32,LBP702,702,4,Continue,,bezosh,35,fork,ek,2,yes,none,yes,Mon+Oct+10+2016+20%3A34%3A28+GMT-0400+(EDT),,
33,LBP702,702,4,zotek,(ek-ro),,zot,37,pen,mytest.ejs,1,no,none,yes,Mon+Oct+10+2016+20%3A34%3A30+GMT-0400+(EDT),,
34,LBP702,702,4,rovok,(ro-ek),,vok,38,clock,mytest.ejs,1,no,none,no,Mon+Oct+10+2016+20%3A34%3A31+GMT-0400+(EDT),,
35,LBP702,702,4,bosovek,(ek-ro),,bosov,39,wheel,mytest.ejs,2,yes,none,no,Mon+Oct+10+2016+20%3A34%3A31+GMT-0400+(EDT),,
36,LBP702,702,4,rosapik,(ek-ro),,sapik,40,hammer,mytest.ejs,2,no,none,yes,Mon+Oct+10+2016+20%3A34%3A33+GMT-0400+(EDT),,
37,LBP702,702,4,fudizek,(ro-ek),,fudiz,41,fishpole,mytest.ejs,2,yes,none,yes,Mon+Oct+10+2016+20%3A34%3A34+GMT-0400+(EDT),,
38,LBP702,702,4,dapusek,(ro-ek),,dapus,42,toothpaste,mytest.ejs,2,yes,none,yes,Mon+Oct+10+2016+20%3A34%3A35+GMT-0400+(EDT),,
39,LBP702,702,4,rotesh,(ro-ek),,tesh,43,soccer,mytest.ejs,1,yes,none,no,Mon+Oct+10+2016+20%3A34%3A35+GMT-0400+(EDT),,
40,LBP702,702,4,fisek,(ek-ro),,fis,44,baseballbat,mytest.ejs,1,yes,none,yes,Mon+Oct+10+2016+20%3A34%3A36+GMT-0400+(EDT),,
41,LBP702,702,4,rotusud,(ro-ek),,tusud,45,bed,mytest.ejs,2,no,none,no,Mon+Oct+10+2016+20%3A34%3A37+GMT-0400+(EDT),,
42,LBP702,702,4,shapek,(ro-ek),,shap,46,screwdriver,mytest.ejs,1,no,none,yes,Mon+Oct+10+2016+20%3A34%3A38+GMT-0400+(EDT),,
43,LBP702,702,4,pisokek,(ek-ro),,pisok,47,shovel,mytest.ejs,2,no,none,yes,Mon+Oct+10+2016+20%3A34%3A39+GMT-0400+(EDT),,
44,LBP702,702,4,rozebuz,(ro-ek),,zebuz,48,basketball,mytest.ejs,2,yes,none,no,Mon+Oct+10+2016+20%3A34%3A40+GMT-0400+(EDT),,
45,LBP702,702,4,kosek,(ro-ek),,kos,49,flashlight,mytest.ejs,1,yes,none,yes,Mon+Oct+10+2016+20%3A34%3A41+GMT-0400+(EDT),,
46,LBP702,702,4,guzek,(ro-ek),,guz,50,refrigerator,mytest.ejs,1,yes,none,no,Mon+Oct+10+2016+20%3A34%3A42+GMT-0400+(EDT),,
47,LBP702,702,4,rovub,(ek-ro),,vub,51,basket,mytest.ejs,1,no,none,no,Mon+Oct+10+2016+20%3A34%3A43+GMT-0400+(EDT),,
48,LBP702,702,4,rotikub,(ro-ek),,tikub,52,plate,mytest.ejs,2,no,none,no,Mon+Oct+10+2016+20%3A34%3A44+GMT-0400+(EDT),,
49,SDQ703,703,1,,,,,,,,,,,Tue+Oct+11+2016+10%3A05%3A08+GMT-0400+(EDT),,none
50,SDQ703,703,1,Continue,,gop,3,undefined,warmup.ejs,,,,,Tue+Oct+11+2016+10%3A05%3A09+GMT-0400+(EDT),,
51,SDQ703,703,1,Continue,,dak,4,undefined,warmup.ejs,,,,,Tue+Oct+11+2016+10%3A05%3A10+GMT-0400+(EDT),,
52,SDQ703,703,1,Continue,,fitash,5,undefined,warmup.ejs,,,,,Tue+Oct+11+2016+10%3A05%3A10+GMT-0400+(EDT),,
53,SDQ703,703,1,Continue,,rezik,6,undefined,warmup.ejs,,,,,Tue+Oct+11+2016+10%3A05%3A11+GMT-0400+(EDT),,
54,SDQ703,703,1,Continue,,dog,7,undefined,stimulus.ejs,,,,,Tue+Oct+11+2016+10%3A05%3A13+GMT-0400+(EDT),,
55,SDQ703,703,1,Continue,,shekef,9,giraffe,ro,2,yes,yes,none,Tue+Oct+11+2016+10%3A05%3A15+GMT-0400+(EDT),,
56,AXS705,705,1,,,,,,,,,,,Tue+Oct+11+2016+10%3A07%3A40+GMT-0400+(EDT),,none
57,AXS705,705,1,Continue,,gop,3,undefined,warmup.ejs,,,,,Tue+Oct+11+2016+10%3A07%3A44+GMT-0400+(EDT),,
58,AXS705,705,1,Continue,,dak,4,undefined,warmup.ejs,,,,,Tue+Oct+11+2016+10%3A07%3A45+GMT-0400+(EDT),,
59,AXS705,705,1,Continue,,fitash,5,undefined,warmup.ejs,,,,,Tue+Oct+11+2016+10%3A07%3A46+GMT-0400+(EDT),,
60,AXS705,705,1,Continue,,rezik,6,undefined,warmup.ejs,,,,,Tue+Oct+11+2016+10%3A07%3A59+GMT-0400+(EDT),,
61,RFS707,707,3,,,,,,,,,,,Tue+Oct+11+2016+10%3A11%3A17+GMT-0400+(EDT),,none
62,RFS707,707,3,Continue,,gop,3,undefined,warmup.ejs,,,,,Tue+Oct+11+2016+10%3A11%3A51+GMT-0400+(EDT),,
63,RFS707,707,3,Continue,,dak,4,undefined,warmup.ejs,,,,,Tue+Oct+11+2016+10%3A11%3A55+GMT-0400+(EDT),,
64,RFS707,707,3,Continue,,fitash,5,undefined,warmup.ejs,,,,,Tue+Oct+11+2016+10%3A11%3A56+GMT-0400+(EDT),,
65,RFS707,707,3,Continue,,rezik,6,undefined,warmup.ejs,,,,,Tue+Oct+11+2016+10%3A12%3A15+GMT-0400+(EDT),,
66,RFS707,707,3,Continue,,dog,7,undefined,stimulus.ejs,,,,,Tue+Oct+11+2016+10%3A19%3A53+GMT-0400+(EDT),,
67,RFS707,707,3,Continue,,dezit,9,key,ro,2,no,no,none,Tue+Oct+11+2016+10%3A21%3A39+GMT-0400+(EDT),,
68,RFS707,707,3,Continue,,kusud,10,cow,ek,2,no,yes,none,Tue+Oct+11+2016+10%3A22%3A21+GMT-0400+(EDT),,
69,RFS707,707,3,Continue,,fekob,11,pigeon,ek,2,no,yes,none,Tue+Oct+11+2016+10%3A22%3A24+GMT-0400+(EDT),,
70,RFS707,707,3,Continue,,dez,12,washingmachine,ro,1,yes,no,none,Tue+Oct+11+2016+10%3A22%3A24+GMT-0400+(EDT),,
71,RFS707,707,3,Continue,,dapus,13,plane,ro,2,yes,no,none,Tue+Oct+11+2016+10%3A22%3A25+GMT-0400+(EDT),,
72,RFS707,707,3,Continue,,zashot,14,skirt,ro,2,no,no,none,Tue+Oct+11+2016+10%3A22%3A26+GMT-0400+(EDT),,
73,RFS707,707,3,Continue,,piz,15,tiger,ek,1,yes,yes,none,Tue+Oct+11+2016+10%3A22%3A27+GMT-0400+(EDT),,
74,RFS707,707,3,Continue,,pefid,16,monkey,ek,2,no,yes,none,Tue+Oct+11+2016+10%3A22%3A28+GMT-0400+(EDT),,
75,RFS707,707,3,zup,(zup-zashot),,zashot,17,undefined,threeTrialsAgoTest.ejs,2,yes,,,Tue+Oct+11+2016+10%3A26%3A20+GMT-0400+(EDT),,
76,RFS707,707,3,Continue,,dezosh,18,book,ro,2,yes,no,none,Tue+Oct+11+2016+10%3A26%3A24+GMT-0400+(EDT),,
77,RFS707,707,3,Continue,,bok,19,penguin,ek,1,no,yes,none,Tue+Oct+11+2016+10%3A26%3A25+GMT-0400+(EDT),,
78,RFS707,707,3,Continue,,zoshib,20,basketball,ro,2,no,no,none,Tue+Oct+11+2016+10%3A26%3A26+GMT-0400+(EDT),,
79,RFS707,707,3,Continue,,buf,21,dog,ek,1,yes,yes,none,Tue+Oct+11+2016+10%3A26%3A27+GMT-0400+(EDT),,
80,RFS707,707,3,Continue,,bezosh,22,zebra,ek,2,yes,yes,none,Tue+Oct+11+2016+10%3A26%3A30+GMT-0400+(EDT),,
81,RFS707,707,3,Continue,,kosh,23,bear,ek,1,yes,yes,none,Tue+Oct+11+2016+10%3A26%3A32+GMT-0400+(EDT),,
82,RFS707,707,3,Continue,,kiv,24,necklace,ro,1,yes,no,none,Tue+Oct+11+2016+10%3A26%3A34+GMT-0400+(EDT),,
83,RFS707,707,3,bezosh,(bezosh-gov),,bezosh,25,undefined,threeTrialsAgoTest.ejs,2,no,,,Tue+Oct+11+2016+10%3A26%3A37+GMT-0400+(EDT),,
84,RFS707,707,3,Continue,,fut,26,knife,ro,1,no,no,none,Tue+Oct+11+2016+10%3A26%3A38+GMT-0400+(EDT),,
85,RFS707,707,3,Continue,,shekef,27,pillow,ro,2,yes,no,none,Tue+Oct+11+2016+10%3A26%3A39+GMT-0400+(EDT),,
